Program;Organization;Funding;Program Eligibility;Use of Funds;Area;Type of Fund;Targeted Applicants;Phone Number;Website;Zipcodes
Revolving Loan Fund;Clearwater Economic Development Association;Contact provider;For-profit businesses in Clearwater, Idaho, Latah, Lewis, or Nez Perce counties;Contact provider;Idaho (ID);Loan - Revolving Loan Fund;Not specified;(208) 746-0015;http://www.clearwater-eda.org/services/;83501, 83522, 83523, 83524, 83520, 83525, 83526, 83530, 83533, 83535, 83536, 83537, 83539, 83540, 83541, 83542, 83543, 83544, 83545, 83546, 83547, 83549, 83552, 83553, 83554, 83555, 83548, 83671, 83806, 83823, 83827, 83832, 83834, 83843, 83844, 83855, 83857, 83871, 83872
Business Continuity Loan Program;Crater Planning District Commission;$10,000 to $50,000;Small businesses in the cities of Colonial Heights, Emporia, Hopewell, and Petersburg, and counties of Charles City, Dinwiddie, Greensville, Prince George, Surry, and Sussex;Working capital;Virginia (VA);COVID-19 Specific Loan;Not specified;(804) 861-1666;http://www.craterpdc.org/economic_development_tourism/business_continuity_loan_program.htm;23882, 23885, 23888, 23884, 23830, 23833, 23840, 23841, 23842, 23847, 23850, 23860, 23867, 23872, 23875, 23879, 23801, 23803, 23805, 23890, 23894, 23891, 23897, 23030
Revolving Loan Fund Program;Crater Planning District Commission;$50,000 to $500,000;For-profit commercial, service, manufacturing, and distribution business in the cities of Colonial Heights, Emporia, Hopewell, and Petersburg, and the counties of Charles City, Dinwiddie, Greensville, Prince George, Surry and Sussex;Fixed assets, working capital;Virginia (VA);Loan - Revolving Loan Fund;Not specified;(804) 861-1666;http://www.craterpdc.org/economic_development_tourism/revolving_loan_fund.htm;23882, 23885, 23888, 23884, 23830, 23833, 23840, 23841, 23842, 23847, 23850, 23860, 23867, 23872, 23875, 23879, 23801, 23803, 23805, 23890, 23894, 23891, 23897, 23030
Revolving Loan Program;Cumberland Plateau Planning District Commission;$25,000 to $250,000;New and existing businesses in Buchanan, Dickenson, Russell, Tazewell, Lee, Scott, and Wise counties and the City of Norton;Land, building, machinery, equipment, working capital;Virginia (VA);Loan - Revolving Loan Fund;Not specified;(276) 889-1778;http://www.cppdc.com/RLF.html;24603, 24605, 24607, 24609, 24612, 24613, 24614, 24620, 24630, 24631, 24634, 24635, 24637, 24639, 24641, 24646, 24649, 24651, 24622, 24602, 24601, 24606, 24628, 24220, 24224, 24225, 24226, 24228, 24237, 24217, 24239, 24256, 24260, 24266, 24280, 24272, 24269, 24316, 24656, 24657, 24604, 24377
ECM Revolving Loan Fund;East Central Michigan Council of Governments;$25,000 to $100,000;For-profit small businesses in Bay and Saginaw counties;Land, building, equipment, working capital;Michigan (MI);Loan - Revolving Loan Fund;Not specified;(989) 797-0800;http://www.emcog.org/revolving_loan.asp;48601, 48602, 48603, 48604, 48607, 48609, 48611, 48614, 48616, 48623, 48626, 48631, 48634, 48637, 48638, 48415, 48417, 48708, 48722, 48710, 48724, 48732, 48734, 48747, 48649, 48650, 48655, 48706
EMDC Direct Loans;Eastern Maine Development Corporation;Up to $75,000;Existing and start-up businesses;Real estate, equipment, renovations, expansions, working capital, other;Maine (ME);Loan;Not specified;(207) 942-6389;https://www.emdc.org/services/lending/loan-products/;04226, 04841, 04401, 04406, 04410, 04411, 04412, 04414, 04416, 04418, 04419, 04421, 04422, 04424, 04426, 04427, 04428, 04429, 04430, 04431, 04434, 04435, 04438, 04441, 04442, 04443, 04444, 04448, 04449, 04450, 04408, 04413, 04417, 04415, 04654, 04453, 04455, 04456, 04457, 04459, 04460, 04461, 04462, 04463, 04464, 04468, 04469, 04471, 04472, 04473, 04474, 04475, 04476, 04478, 04479, 04481, 04485, 04487, 04488, 04489, 04491, 04493, 04495, 04496, 04490, 04492, 04451, 04454, 04655, 04658, 04660, 04662, 04664, 04666, 04667, 04668, 04669, 04671, 04673, 04675, 04676, 04679, 04680, 04681, 04684, 04691, 04693, 04694, 04730, 04732, 04734, 04735, 04736, 04739, 04740, 04657, 04733, 04686, 04741, 04530, 04535, 04537, 04538, 04539, 04543, 04544, 04547, 04553, 04554, 04555, 04556, 04562, 04563, 04564, 04568, 04571, 04572, 04573, 04574, 04575, 04576, 04578, 04579, 04605, 04606, 04607, 04742, 04743, 04745, 04746, 04747, 04750, 04756, 04497, 04541, 04570, 04353, 04354, 03579, 03901, 03902, 03903, 03905, 03906, 03907, 04076, 04083, 04084, 04085, 04086, 04087, 04088, 04090, 04091, 04092, 04093, 04095, 04096, 04097, 04101, 04102, 04103, 04105, 04106, 04107, 04108, 04210, 04216, 04217, 04219, 04220, 04221, 04222, 04224, 04227, 04231, 04234, 04236, 04237, 04238, 04239, 04240, 04250, 04252, 04253, 04254, 04255, 04256, 04257, 04258, 04259, 04228, 04260, 04261, 04263, 04265, 04268, 04270, 04274, 04275, 04276, 04280, 04281, 04282, 04284, 04285, 04286, 04287, 04289, 04290, 04292, 04294, 04330, 04342, 04344, 04345, 04346, 04347, 04348, 04349, 04350, 04351, 04352, 04757, 04758, 04760, 04761, 04762, 04763, 04765, 04766, 04768, 04343, 04764, 04267, 04271, 04355, 04357, 04358, 04359, 04360, 04363, 04364, 04769, 04772, 04773, 04774, 04776, 04777, 04779, 04780, 04781, 04785, 04786, 04787, 04843, 04847, 04848, 04849, 04852, 04853, 04854, 04855, 04856, 04858, 04783, 04860, 04861, 04862, 04863, 04864, 04901, 04910, 04911, 04912, 04915, 04917, 04918, 04920, 04921, 04922, 04923, 04924, 04927, 04928, 04929, 04930, 04925, 04926, 04932, 04936, 04937, 04938, 04939, 04941, 04942, 04943, 04944, 04945, 04947, 04949, 04950, 04951, 04933, 04940, 04952, 04953, 04955, 04956, 04957, 04958, 04961, 04962, 04963, 04964, 04965, 04966, 04967, 04969, 04970, 04971, 04973, 04974, 04975, 04976, 04978, 04979, 04981, 04982, 04983, 04984, 04985, 04986, 04987, 04988, 04989, 04992, 04609, 04613, 04614, 04617, 04619, 04622, 04623, 04624, 04625, 04626, 04628, 04630, 04631, 04634, 04640, 04642, 04644, 04645, 04629, 04637, 04648, 04650, 04652, 04037, 03908, 03909, 03910, 03911, 04001, 04002, 04005, 04006, 04008, 04009, 04010, 04011, 04015, 04020, 04021, 04022, 04024, 04027, 04029, 04030, 04032, 04038, 04039, 04040, 04041, 04042, 04043, 04046, 04047, 04048, 04049, 04051, 04055, 04056, 04057, 04061, 04062, 04063, 04064, 04066, 04068, 04069, 04071, 04072, 04073, 04074
Streamlined Loan Program;Eastern Maine Development Corporation;Up to $75,000;Businesses with 2 full years of operation;Contact provider;Maine (ME);Loan;Not specified;(207) 942-6389;https://www.emdc.org/services/lending/loan-products/;04226, 04841, 04401, 04406, 04410, 04411, 04412, 04414, 04416, 04418, 04419, 04421, 04422, 04424, 04426, 04427, 04428, 04429, 04430, 04431, 04434, 04435, 04438, 04441, 04442, 04443, 04444, 04448, 04449, 04450, 04408, 04413, 04417, 04415, 04654, 04453, 04455, 04456, 04457, 04459, 04460, 04461, 04462, 04463, 04464, 04468, 04469, 04471, 04472, 04473, 04474, 04475, 04476, 04478, 04479, 04481, 04485, 04487, 04488, 04489, 04491, 04493, 04495, 04496, 04490, 04492, 04451, 04454, 04655, 04658, 04660, 04662, 04664, 04666, 04667, 04668, 04669, 04671, 04673, 04675, 04676, 04679, 04680, 04681, 04684, 04691, 04693, 04694, 04730, 04732, 04734, 04735, 04736, 04739, 04740, 04657, 04733, 04686, 04741, 04530, 04535, 04537, 04538, 04539, 04543, 04544, 04547, 04553, 04554, 04555, 04556, 04562, 04563, 04564, 04568, 04571, 04572, 04573, 04574, 04575, 04576, 04578, 04579, 04605, 04606, 04607, 04742, 04743, 04745, 04746, 04747, 04750, 04756, 04497, 04541, 04570, 04353, 04354, 03579, 03901, 03902, 03903, 03905, 03906, 03907, 04076, 04083, 04084, 04085, 04086, 04087, 04088, 04090, 04091, 04092, 04093, 04095, 04096, 04097, 04101, 04102, 04103, 04105, 04106, 04107, 04108, 04210, 04216, 04217, 04219, 04220, 04221, 04222, 04224, 04227, 04231, 04234, 04236, 04237, 04238, 04239, 04240, 04250, 04252, 04253, 04254, 04255, 04256, 04257, 04258, 04259, 04228, 04260, 04261, 04263, 04265, 04268, 04270, 04274, 04275, 04276, 04280, 04281, 04282, 04284, 04285, 04286, 04287, 04289, 04290, 04292, 04294, 04330, 04342, 04344, 04345, 04346, 04347, 04348, 04349, 04350, 04351, 04352, 04757, 04758, 04760, 04761, 04762, 04763, 04765, 04766, 04768, 04343, 04764, 04267, 04271, 04355, 04357, 04358, 04359, 04360, 04363, 04364, 04769, 04772, 04773, 04774, 04776, 04777, 04779, 04780, 04781, 04785, 04786, 04787, 04843, 04847, 04848, 04849, 04852, 04853, 04854, 04855, 04856, 04858, 04783, 04860, 04861, 04862, 04863, 04864, 04901, 04910, 04911, 04912, 04915, 04917, 04918, 04920, 04921, 04922, 04923, 04924, 04927, 04928, 04929, 04930, 04925, 04926, 04932, 04936, 04937, 04938, 04939, 04941, 04942, 04943, 04944, 04945, 04947, 04949, 04950, 04951, 04933, 04940, 04952, 04953, 04955, 04956, 04957, 04958, 04961, 04962, 04963, 04964, 04965, 04966, 04967, 04969, 04970, 04971, 04973, 04974, 04975, 04976, 04978, 04979, 04981, 04982, 04983, 04984, 04985, 04986, 04987, 04988, 04989, 04992, 04609, 04613, 04614, 04617, 04619, 04622, 04623, 04624, 04625, 04626, 04628, 04630, 04631, 04634, 04640, 04642, 04644, 04645, 04629, 04637, 04648, 04650, 04652, 04037, 03908, 03909, 03910, 03911, 04001, 04002, 04005, 04006, 04008, 04009, 04010, 04011, 04015, 04020, 04021, 04022, 04024, 04027, 04029, 04030, 04032, 04038, 04039, 04040, 04041, 04042, 04043, 04046, 04047, 04048, 04049, 04051, 04055, 04056, 04057, 04061, 04062, 04063, 04064, 04066, 04068, 04069, 04071, 04072, 04073, 04074
Revolving Loan Fund;Genesee/Finger Lakes Regional Planning Council;$20,000 to $200,000;Industrial and light manufacturing, service industries, retail (where opportunities for private sector jobs are greatest) ;Acquisition and improvement of land or buildings, plant and equipment, construction or renovation of existing facilities, demolition and site preparation, working capital;New York (NY);Loan - Revolving Loan Fund;Not specified;(585) 454-0190;http://www.gflrpc.org/regional-revolving-loan-fund.html;14143, 14145, 14167, 14860, 14411, 14414, 14416, 14418, 14420, 14422, 14423, 14424, 14425, 14427, 14428, 14432, 14433, 14415, 14435, 14437, 14441, 14445, 14450, 14454, 14456, 14462, 14464, 14466, 14467, 14468, 14469, 14470, 14471, 14472, 14475, 14476, 14477, 14478, 14480, 14481, 14482, 14485, 14486, 14487, 14489, 14502, 14504, 14505, 14506, 14507, 14510, 14511, 14512, 14513, 14514, 14516, 14517, 14519, 14479, 14521, 14522, 14525, 14526, 14527, 14530, 14532, 14533, 14534, 14536, 14539, 14541, 14555, 14537, 14543, 14544, 14546, 14548, 14550, 14551, 14559, 14560, 14561, 14564, 14568, 14569, 14571, 14580, 14585, 14586, 14549, 14542, 14545, 14588, 14005, 14009, 14011, 14013, 14020, 14024, 14036, 14037, 14040, 14039, 14054, 14058, 14066, 14082, 13143, 13146, 13148, 13165, 14098, 14103, 14113, 14125, 14130, 14589, 14590, 14591, 14592, 14604, 14605, 14606, 14607, 14608, 14609, 14610, 14611, 14612, 14613, 14614, 14615, 14616, 14617, 14618, 14619, 14620, 14621, 14622, 14623, 14624, 14625, 14626, 14627, 14837, 14842, 14846, 14847
Revolving Loan Program;Georgia Mountains Regional Commission;$15,000 to $300,000;Available to businesses of all sizes that are located in the covered counties;Real estate, machinery, equipment, inventory, working capital;Georgia (GA);Loan - Revolving Loan Fund;Not specified;(770) 538-2624;http://www.gmrc.ga.gov/RLF.htm;30501, 30504, 30506, 30507, 30510, 30511, 30512, 30516, 30520, 30521, 30523, 30525, 30527, 30528, 30530, 30531, 30533, 30534, 30535, 30537, 30538, 30542, 30543, 30545, 30546, 30547, 30552, 30553, 30554, 30557, 30558, 30562, 30563, 30564, 30566, 30568, 30571, 30572, 30573, 30576, 30577, 30582, 30643, 30662, 30581
EDA Revolving Loan Fund ;Great Plains Development, Inc.;Up to $150,000;For-profit businesses, nonprofit organizations, and government in Barber, Barton, Clark, Comanche, Greeley, Hodgeman, Kiowa, Lane, Meade, Ness, Pratt, Rush, Scott, Seward, Stafford, and Wichita counties;Working capital, inventory, equipment, machinery, fixed assets;Kansas (KS);Loan - Revolving Loan Fund;Not specified;(620) 227-6406;https://gpdionline.com/?page_id=320;67511, 67516, 67520, 67521, 67523, 67525, 67526, 67529, 67530, 67544, 67545, 67547, 67513, 67515, 67518, 67519, 67548, 67550, 67552, 67556, 67557, 67560, 67563, 67564, 67565, 67567, 67575, 67576, 67578, 67553, 67559, 67801, 67831, 67834, 67835, 67837, 67838, 67839, 67840, 67841, 67842, 67836, 67843, 67844, 67846, 67849, 67850, 67851, 67853, 67854, 67855, 67857, 67021, 67028, 67029, 67572, 67574, 67583, 67584, 67859, 67860, 67861, 67862, 67863, 67864, 67865, 67867, 67869, 67870, 67871, 67876, 67877, 67878, 67879, 67880, 67882, 67901, 67950, 67951, 67952, 67953, 67954, 67868, 67054, 67057, 67059, 67061, 67066, 67065, 67070, 67104, 67109, 67124, 67127, 67134, 67138, 67155, 67071, 67143
Greater Wabash Regional Planning Commission Revolving Loan Fund;Greater Wabash Regional Planning Commission;$7,500 to $300,000;Area businesses that create or retain private sector jobs;Working capital, construction, reuse and modernization of facilities, equipment, inventory;Illinois (IL);Loan - Revolving Loan Fund;Not specified;(618) 445-3612;http://www.gwrpc.com/services/rlf.html;62869, 62878, 62886, 62887, 62433, 62835, 62837, 62439, 62842, 62844, 62850, 62851, 62833, 62843, 62852, 62895, 62446, 62449, 62450, 62451, 62452, 62862, 62454, 62460, 62410, 62413, 62417, 62419, 62421, 62425, 62466, 62427, 62821, 62823, 62827, 62806, 62809, 62811, 62476, 62863, 62818, 62820, 62815, 62867, 62868
KPEED Microloan Fund;Kenai Peninsula Economic Development District;$2,500 to $25,000;New and existing small, for-profit businesses, and startups located in the Kenai Peninsula Borough;Startup costs, equipment, expansion of services or operational capabilities;Alaska (AK);Loan - Microloan;Minorities, Women, Veterans;(907) 283-3355;https://kpedd.org/micro-loans/;99556, 99568, 99572, 99603, 99605, 99610, 99611, 99631, 99639, 99663, 99664, 99669, 99672, 99682
Small Business Loan;Kennebec Valley Council of Governments;;Small for-profit businesses in Kennebec, Somerset, and western Waldo counties;Real estate acquisition, building improvements, furniture and fixtures, equipment, inventory, supplies, working capital, debt refinancing;Maine (ME);Loan - Revolving Loan Fund;Not specified;(207) 453-4258;https://www.kvcog.org/business-services/business-financing;04478, 04259, 04265, 04284, 04330, 04344, 04345, 04346, 04347, 04349, 04350, 04351, 04352, 04343, 04355, 04358, 04359, 04360, 04363, 04364, 04901, 04910, 04911, 04912, 04917, 04918, 04920, 04923, 04924, 04927, 04929, 04925, 04926, 04937, 04943, 04944, 04945, 04950, 04957, 04958, 04961, 04962, 04963, 04965, 04967, 04971, 04975, 04976, 04978, 04979, 04985, 04989, 04354, 04922, 04941, 04949, 04973, 04986, 04987, 04988
Community Development Loan Fund;Lake Agassiz Development Group;Up to $500,000;New and existing businesses in the region with the exception of businesses located within the city of Fargo;Industrial or primary sector projects, retail and service sector projects;North Dakota (ND);Loan;Not specified;(701) 235-1197;https://www.lakeagassiz.com/business-lending/community-development-loan-fund/;58041, 58042, 58043, 58045, 58046, 58047, 58048, 58051, 58052, 58053, 58054, 58057, 58058, 58059, 58060, 58061, 58064, 58067, 58068, 58071, 58075, 58077, 58069, 58076, 58078, 58079, 58081, 58102, 58103, 58104, 58218, 58219, 58105, 58223, 58230, 58240, 58001, 58004, 58005, 58006, 58008, 58011, 58012, 58013, 58015, 58016, 58007, 58002, 58009, 58017, 58018, 58021, 58027, 58030, 58031, 58032, 58033, 58035, 58036, 58038, 58040, 58029, 58257, 58274, 58277
EDA Revolving Loan Fund;Lake Agassiz Development Group;Up to $250,000 or 1/3rd project cost, whichever is lower;New and existing small businesses in Cass, Ransom, Richland, Sargent, Steele, and Traill counties;Industrial or primary sector projects, retail and service sector projects;North Dakota (ND);Loan - Revolving Loan Fund;Not specified;(701) 235-1197;https://www.lakeagassiz.com/business-lending/eda-revolving-loan-fund/;58041, 58042, 58043, 58045, 58046, 58047, 58048, 58051, 58052, 58053, 58054, 58057, 58058, 58059, 58060, 58061, 58064, 58067, 58068, 58071, 58075, 58077, 58069, 58076, 58078, 58079, 58081, 58102, 58103, 58104, 58218, 58219, 58105, 58223, 58230, 58240, 58001, 58004, 58005, 58006, 58008, 58011, 58012, 58013, 58015, 58016, 58007, 58002, 58009, 58017, 58018, 58021, 58027, 58030, 58031, 58032, 58033, 58035, 58036, 58038, 58040, 58029, 58257, 58274, 58277
EDA Revolving Loan;Lake of the Ozarks Council of Government;Contact provider;Businesses in Camden, Laclede, Miller, and Morgan counties;Business development and business growth;Missouri (MO);Loan - Revolving Loan Fund;Not specified;(573) 346-5692;https://www.loclg.org/financing-options;65011, 65017, 65020, 65026, 65034, 65037, 65047, 65049, 65052, 65064, 65065, 65072, 65075, 65078, 65079, 65082, 65083, 65084, 65536, 65567, 65591, 65632, 65722, 65786, 65787, 65324, 65329, 65354, 65463, 65470, 65486
EDA Revolving Loan;Mark Twain Regional Council of Governments;Up to $150,000 ;Small and medium-sized firms restricted to MTCOG service area;Land, buildings and construction, equipment and machinery, working capital, inventory;Missouri (MO);Loan - Revolving Loan Fund;Not specified;(573) 565-2203;https://www.marktwaincog.com/programs/revolving-loan-fund;65239, 65243, 65244, 65247, 65257, 65258, 65232, 65259, 65260, 65263, 65264, 65265, 65270, 65275, 65285, 65280, 65283, 65282, 65278, 63401, 63434, 63436, 63437, 63441, 63443, 63451, 63454, 63456, 63459, 63461, 63462, 63463, 63431, 63439, 63450, 63433, 63468, 63469, 63471, 63530, 63532, 63534, 63538, 63549, 63552, 63539, 63467, 63558, 63330, 63334, 63336, 63339, 63344, 63352, 63353, 63359, 63382, 63345
EDA Revolving Loan;Meramec Regional Planning Commission;Up to $100,000;Small businesses, restricted to MRPC service area;Land, buildings, construction, equipment and machinery, working capital, inventory;Missouri (MO);Loan - Revolving Loan Fund;Not specified;(573) 265-2993;https://www.meramecregion.org/mrpc-programs-and-services/business-loans/;65001, 65013, 65014, 65016, 65024, 65035, 65041, 65051, 65054, 65058, 65061, 65066, 65048, 65062, 65085, 65550, 65556, 65559, 65560, 65565, 65580, 65582, 65583, 65584, 65541, 65586, 65401, 65440, 65441, 65452, 65453, 65459, 65462, 65443, 65456, 65436, 65446, 65449, 65457, 65461, 65473, 65501, 65534, 65535, 65529, 63030, 63071, 63080, 63091, 63622, 63626, 63630, 63631, 63648, 63660, 63664, 63674
EDA Revolving Loan Fund (RLF) ;Middle Georgia Regional Commission;Contact provider;Small businesses;Land or building acquisition, construction, expansion or conversion of existing facilities, machinery, equipment, furniture, fixtures, supplies, materials, working capital;Georgia (GA);Loan - Revolving Loan Fund;Not specified;(478) 751-6160;https://www.middlegeorgiarc.org/economic-development/;31005, 31008, 31016, 31020, 31024, 31025, 31028, 31029, 31030, 31032, 31033, 31036, 31038, 31044, 31046, 31047, 31050, 31061, 31062, 31069, 31071, 31078, 31066, 31088, 31093, 31098, 31211, 31217
EDA Revolving Loan;Mo-Kan Regional Council;Up to $200,000;Emerging and small businesses located in rural communities of less than 50,000 in population and restricted to Mo-Kan Regional Council service area;Land, buildings, construction, equipment and machinery, working capital, inventory;Missouri (MO);Loan - Revolving Loan Fund;Not specified;(816) 233-3144;https://www.mo-kan.org/business/loan-programs/;64401, 64421, 64427, 64429, 64436, 64440, 64443, 64448, 64449, 64454, 64459, 64465, 64477, 64480, 64483, 64484, 64485, 64490, 64492, 64493, 64494, 64501, 64503, 64504, 64505, 64506, 64507
Microloan Program;Mo-Kan Regional Council;$2,500 to $30,000;Emerging and small businesses located in rural communities of less than 50,000 in population and restricted to Mo-Kan Regional Council service area;Equipment, inventory, working capital, refinancing;Missouri (MO);Loan - Microloan;Not specified;(816) 233-3144;https://www.mo-kan.org/business/loan-programs/;64401, 64421, 64427, 64429, 64436, 64440, 64443, 64448, 64449, 64454, 64459, 64465, 64477, 64480, 64483, 64484, 64485, 64490, 64492, 64493, 64494, 64501, 64503, 64504, 64505, 64506, 64507
Economic Development Administration Revolving Loan;North Central Planning and Development District;Up to $350,000;Small businesses in Attalla, Carroll, Holmes, and Montgomery counties;Fixed assets, inventory, working capital;Mississippi (MS);Loan - Revolving Loan Fund;Not specified;(662) 283-2771;http://ncpdd.info/loan-division;38917, 38925, 38943, 38967, 38947, 38923, 38924, 39747, 39063, 39067, 39079, 39090, 39095, 39108, 39160, 39169, 39176, 39192
